"","date","sentido_ABEV3","lag_fechamento_ABEV3","lag_abertura_ABEV3","lag_volume_ABEV3","lag_retorno_ABEV3","lag_value_ABEV3","lag_diff"
"503",2014-01-16,"-1",19.6876246,19.82659607,11.8742854170992,0.0002353217905,65,-0.138971470000001
"504",2014-01-17,"-1",19.43284357,19.71078651,11.8051024202833,-0.01302564301,77,-0.277942939999999
"505",2014-01-20,"1",19.2707102,19.4791674,11.5960526415441,-0.008378265644,58,-0.208457200000002
"506",2014-01-21,"1",19.34019593,19.25912924,11.0490470383114,0.003599284036,55,0.0810666900000001
"507",2014-01-22,"1",19.57181504,19.42126262,11.99726952693,0.01190490251,59,0.15055242
"508",2014-01-23,"-1",19.84975798,19.69920555,12.5532339782398,0.01410129122,68,0.150552430000001
"509",2014-01-24,"-1",19.16648159,19.6876246,12.7783112861299,-0.03502881134,71,-0.521143009999999
"510",2014-01-27,"-1",19.02751013,19.36335784,12.6192413380234,-0.007277169787,56,-0.335847709999999
"511",2014-01-28,"1",18.57585286,19.03909108,12.020062293489,-0.0240233296,75,-0.463238219999997
"512",2014-01-29,"-1",18.64533859,18.8769577,12.4013022011666,0.003733669559,55,-0.231619109999997
"513",2014-01-30,"-1",18.58743381,18.70324337,12.3480365097213,-0.003110422402,80,-0.115809559999999
"514",2014-01-31,"1",18.37897661,18.59901477,12.0068897316608,-0.01127831506,61,-0.220038160000001
"515",2014-02-03,"-1",18.53183261,18.15175151,12.555161386861,0.008282498925,52,0.380081099999998
"516",2014-02-04,"1",17.85229368,18.34755086,12.5897010590292,-0.03735793709,67,-0.495257179999999
"517",2014-02-05,"-1",17.93291695,17.96746977,12.178881288677,0.004505961932,69,-0.0345528200000018
"518",2014-02-06,"1",17.78318803,17.90988173,12.4016435409078,-0.008384441262,63,-0.126693699999997
"519",2014-02-07,"1",18.62397348,17.84077608,12.5866540394559,0.04619612902,76,0.783197399999999
"520",2014-02-10,"-1",18.87736087,18.520315,12.0029155281481,0.01351371915,49,0.35704587
"521",2014-02-11,"1",18.58942065,18.69307913,11.6665302815555,-0.01537072993,55,-0.10365848
"522",2014-02-12,"-1",19.11923066,18.70459674,12.081891686742,0.02810203252,76,0.41463392
"523",2014-02-13,"1",18.60093826,19.11923066,12.2667678530907,-0.02748264568,73,-0.5182924
"524",2014-02-14,"1",18.80825522,18.43969174,12.203163417828,0.01108385732,89,0.368563479999999
"525",2014-02-17,"-1",19.21137153,18.85432565,12.5736974206552,0.02120648995,67,0.357045880000001
"526",2014-02-18,"-1",19.07316022,19.19985392,11.3858645223331,-0.007220247977,64,-0.126693700000001
"527",2014-02-19,"1",18.60093826,18.92343131,12.2319547942443,-0.02507009929,63,-0.322493050000002
"528",2014-02-20,"1",18.81977283,18.42817413,11.9508513095003,0.01169603978,68,0.391598700000003
"529",2014-02-21,"1",19.03860739,18.76218478,11.9372450385929,0.01156082241,57,0.276422610000001
"530",2014-02-24,"1",19.09619544,19.00405457,11.9586364016469,0.003020237867,63,0.0921408699999979
"531",2014-02-25,"0",19.11923066,19.08467783,11.6925684375584,0.001205545621,80,0.0345528299999991
"532",2014-02-26,"1",19.11923066,18.95798413,11.9569379826906,0,68,0.16124653
"533",2014-02-27,"1",19.32654761,19.43020609,12.1263961208035,0.01078500568,71,-0.10365848
"534",2014-02-28,"-1",19.45324131,19.31503001,11.9547353598452,0.006534029826,54,0.138211299999998
"535",2014-03-05,"-1",19.30849508,19.33137245,12.6253157331872,-0.00746854575,57,-0.0228773699999998
